6.68e-26	-1.048	-0.080	 4471.50
2.91e-26	-0.740	-0.076	 2945.10
5.90e-26	-0.707	-0.048	 3188.74
7.60e-27	-0.864	-0.115	 3613.64
1.41e-25	-0.709	-0.025	 3888.65
1.53e-26	-0.845	-0.097	 3964.73
3.32e-26	-1.098	-0.148	 4026.21
2.39e-27	-0.405	0.024	 4120.82
8.83e-27	-1.121	-0.156	 4387.93
1.06e-27	-0.547	-0.011	 4437.55
6.68e-26	-1.048	-0.080	 4471.50
5.52e-27	-0.230	0.155	 4713.17
1.85e-26	-1.125	-0.124	 4921.93
3.79e-26	-0.859	-0.083	 5015.68
2.42e-27	-0.489	0.035	 5047.74
1.73e-25	-1.091	-0.024	 5875.66
5.25e-26	-1.202	-0.091	 6678.16
2.65e-26	-0.340	0.114	 7065.25
8.88e-27	-0.547	0.015	 7281.35
1.61e-27	-0.740	-0.076	 9463.58
2.94e-25	-0.364	0.144	 10830.25
3.35e-27	-1.098	-0.148	 11969.06
1.89e-27	-0.707	-0.048	 12527.49
1.08e-26	-1.331	-0.141	 12784.92
3.60e-27	-1.331	-0.141	 12790.50
1.12e-27	-1.121	-0.156	 12968.43
8.14e-28	-0.845	-0.097	 15083.65
4.42e-27	-1.048	-0.080	 17002.40
2.40e-26	-1.332	-0.078	 18685.33
8.16e-27	-1.364	-0.100	 18697.21
1.71e-27	-1.125	-0.123	 19089.36
1.10e-27	-0.707	-0.048	 19543.19
4.35e-26	-0.919	-0.054	 20581.28
8.43e-28	-0.230	0.155	 21120.12
3.36e-26         0.092	0.665	 4471.50
2.62e-26	-0.563	0.043	 2945.10
4.13e-26	0.011	0.385	 3188.74
7.61e-27	-0.864	-0.111	 3613.64
1.14e-25	0.129	0.380	 3888.65
1.28e-26	-0.516	0.113	 3964.73
3.31e-26	-1.097	-0.144	 4026.21
2.36e-27	-0.391	0.037	 4120.82
8.81e-27	-1.120	-0.151	 4387.93
1.05e-27	-0.546	-0.007	 4437.55
3.36e-26	0.092	0.665	 4471.50
4.25e-27	1.251	0.805	 4713.17
1.40e-26	-0.634	0.192	 4921.93
3.19e-26	-0.432	0.157	 5015.68
1.84e-27	0.381	0.479	 5047.74
8.42e-26	0.304	0.821	 5875.66
4.17e-26	-0.712	0.192	 6678.16
6.49e-26	0.323	-0.053	 7065.25
1.19e-26	-0.012	0.072	 7281.35
1.45e-27	-0.563	0.043	 9463.58
3.58e-24	-0.383	-0.558	 10830.25
3.34e-27	-1.097	-0.144	 11969.06
1.32e-27	0.011	0.385	 12527.49
1.07e-26	-1.328	-0.138	 12784.92
3.58e-27	-1.328	-0.138	 12790.50
1.12e-27	-1.120	-0.151	 12968.43
6.79e-28	-0.516	0.113	 15083.65
2.22e-27	0.092	0.665	 17002.40
1.59e-26	-0.663	0.353	 18685.33
7.32e-27	-1.192	0.006	 18697.21
1.29e-27	-0.634	0.192	 19089.36
7.72e-28	0.011	0.385	 19543.19
8.35e-26	-0.708	-0.212	 20581.28
6.49e-28	1.251	0.805	 21120.12
3.03e-26   	0.286	0.793	 4471.50
2.57e-26	-0.525	0.082	 2945.10
4.01e-26	0.120	0.454	 3188.74
7.61e-27	-0.863	-0.092	 3613.64
1.22e-25	0.189	0.388	 3888.65
1.24e-26	-0.448	0.169	 3964.73
3.29e-26	-1.095	-0.128	 4026.21
2.31e-27	-0.382	0.055	 4120.82
8.76e-27	-1.117	-0.134	 4387.93
1.04e-27	-0.542	0.009	 4437.55
3.03e-26	0.286	0.793	 4471.50
5.15e-27	1.263	0.726	 4713.17
1.32e-26	-0.524	0.269	 4921.93
3.16e-26	-0.363	0.201	 5015.68
1.90e-27	0.471	0.503	 5047.74
8.03e-26	0.484	0.908	 5875.66
4.03e-26	-0.607	0.247	 6678.16
9.25e-26	0.182	-0.232	 7065.25
1.45e-26	-0.051	-0.018	 7281.35
1.42e-27	-0.525	0.082	 9463.58
3.85e-24	-0.332	-0.365	 10830.25
3.32e-27	-1.095	-0.128	 11969.06
1.28e-27	0.120	0.454	 12527.49
1.06e-26	-1.318	-0.125	 12784.92
3.52e-27	-1.318	-0.125	 12790.50
1.11e-27	-1.117	-0.134	 12968.43
6.59e-28	-0.448	0.169	 15083.65
2.01e-27	0.286	0.794	 17002.40
1.44e-26	-0.510	0.443	 18685.33
6.95e-27	-1.129	0.042	 18697.21
1.22e-27	-0.524	0.269	 19089.36
7.50e-28	0.120	0.454	 19543.19
1.07e-25	-0.755	-0.269	 20581.28
7.86e-28	1.263	0.726	 21120.12
