 34
** Atomic data from version 6 of the CHIANTI database **
%observed energy levels: Kelly, R.L., 1987, J.Phys.Chem.Ref.Data 16, Suppl. 1
%theoretical energy levels:  Connor Ballance (private communications)
%comment: An R-matrix with pseudostates He^+ calculation   1s-5g
     Degenerate transitions removed within LS coupling scheme

%filename: he_2.wgfa
%observed energy levels: Kelly, R.L., 1987, J.Phys.Chem.Ref.Data 16, Suppl. 1.     
% A values: Parpia, F.A., Johnson, W.R., 1972, Phys.Rev.A, 26, 1142.
%oscillator strengths: Wiese, W.L., Smith, M.W., Glennon, B.M., 1966, Atomic Transition Probabilities, NSRDS-NBS-4.
%note: Wiese's oscillator strengths are hydrogenic
%produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
%
%   K.P.Dere 1995 

%filename: he_2.splups
%theoretical energy levels:  Connor Ballance (private communications)
%oscillator strengths:  Wiese, W. L., Smith, M. W., and Glennon, B. M., 1966, Atomic Transition Probabilities, NSRDS-NBS-4.
%comment:  hydrogenic f values
%collision strengths:  Connor Ballance (private communications)
%comment: An R-matrix with pseudostates He^+ calculation   1s-5g
     Degenerate transitions removed within LS coupling scheme

     L=0-11     exchange calculation
     L=12-60    non-exchange calculation + top up

     (Connor Ballance - 28th June 2003)
     Degenerate transitions removed within LS coupling scheme
  0  0   1.26e-01
  0  0   1.27e-01
  0  0   1.29e-01
  0  0   1.37e-01
  0  0   1.53e-01
  0  0   1.72e-01
  1  3   1.08e-01
  0  0   1.08e-01
  0  0   1.08e-01
  0  0   1.08e-01
  0  0   1.09e-01
  0  0   1.09e-01
  0  0   1.09e-01
  0  0   1.10e-01
  0  0   1.11e-01
  0  0   1.13e-01
  0  0   1.15e-01
  0  0   1.19e-01
  0  0   1.24e-01
  0  0   1.30e-01
  0  0   1.39e-01
  0  0   1.51e-01
  0  0   1.70e-01
  0  0   1.98e-01
  0  0   2.37e-01
  0  0   2.87e-01
  0  0   3.50e-01
  0  0   4.29e-01
  0  0   5.29e-01
  1  4   2.17e-01
  0  0   2.17e-01
  0  0   2.17e-01
  0  0   2.17e-01
  0  0   2.18e-01
  0  0   2.18e-01
  0  0   2.19e-01
  0  0   2.20e-01
  0  0   2.23e-01
  0  0   2.26e-01
  0  0   2.31e-01
  0  0   2.38e-01
  0  0   2.48e-01
  0  0   2.61e-01
  0  0   2.78e-01
  0  0   3.02e-01
  0  0   3.40e-01
  0  0   3.96e-01
  0  0   4.75e-01
  0  0   5.75e-01
  0  0   7.00e-01
  0  0   8.64e-01
  0  0   1.07e+00
  1  5   3.82e-02
  0  0   3.82e-02
  0  0   3.82e-02
  0  0   3.82e-02
  0  0   3.82e-02
  0  0   3.81e-02
  0  0   3.81e-02
  0  0   3.80e-02
  0  0   3.79e-02
  0  0   3.78e-02
  0  0   3.75e-02
  0  0   3.71e-02
  0  0   3.65e-02
  0  0   3.56e-02
  0  0   3.43e-02
  0  0   3.25e-02
  0  0   3.06e-02
  0  0   2.89e-02
  0  0   2.79e-02
  0  0   2.74e-02
  0  0   2.78e-02
  0  0   3.00e-02
  0  0   3.33e-02
  1  6   1.84e-02
  0  0   1.84e-02
  0  0   1.84e-02
  0  0   1.84e-02
  0  0   1.85e-02
  0  0   1.85e-02
  0  0   1.87e-02
  0  0   1.88e-02
  0  0   1.91e-02
  0  0   1.95e-02
  0  0   2.02e-02
