%  E. Landi - Nov 2009
  0  0   1.08e-02
  0  0   1.08e-02
  0  0   1.09e-02
  0  0   1.10e-02
  0  0   1.12e-02
  0  0   1.15e-02
  0  0   1.19e-02
  0  0   1.25e-02
  0  0   1.34e-02
  0  0   1.45e-02
  0  0   1.60e-02
  1  8   3.00e-03
  0  0   3.00e-03
  0  0   3.00e-03
  0  0   3.00e-03
  0  0   2.99e-03
  0  0   2.99e-03
  0  0   2.98e-03
  0  0   2.97e-03
  0  0   2.95e-03
  0  0   2.93e-03
  0  0   2.89e-03
  0  0   2.82e-03
  0  0   2.72e-03
  0  0   2.58e-03
  0  0   2.38e-03
  0  0   2.12e-03
  0  0   1.82e-03
  0  0   1.50e-03
  0  0   1.23e-03
  0  0   1.04e-03
  0  0   8.96e-04
  0  0   7.73e-04
  0  0   6.62e-04
  1  9   3.50e-04
  0  0   3.50e-04
  0  0   3.50e-04
  0  0   3.50e-04
  0  0   3.50e-04
  0  0   3.50e-04
  0  0   3.50e-04
  0  0   3.50e-04
  0  0   3.50e-04
  0  0   3.50e-04
  0  0   3.51e-04
  0  0   3.51e-04
  0  0   3.52e-04
  0  0   3.53e-04
  0  0   3.55e-04
  0  0   3.58e-04
  0  0   3.60e-04
  0  0   3.62e-04
  0  0   3.60e-04
  0  0   3.54e-04
  0  0   3.39e-04
  0  0   3.18e-04
  0  0   2.93e-04
  1 10   1.06e-03
  0  0   1.06e-03
  0  0   1.06e-03
  0  0   1.06e-03
  0  0   1.06e-03
  0  0   1.06e-03
  0  0   1.06e-03
  0  0   1.06e-03
  0  0   1.06e-03
  0  0   1.06e-03
  0  0   1.06e-03
  0  0   1.06e-03
  0  0   1.06e-03
  0  0   1.07e-03
  0  0   1.07e-03
  0  0   1.08e-03
  0  0   1.08e-03
  0  0   1.08e-03
  0  0   1.07e-03
  0  0   1.05e-03
  0  0   1.01e-03
  0  0   9.49e-04
  0  0   8.74e-04
  1 11   1.70e-03
  0  0   1.70e-03
  0  0   1.70e-03
  0  0   1.70e-03
  0  0   1.70e-03
  0  0   1.70e-03
  0  0   1.70e-03
  0  0   1.70e-03
  0  0   1.71e-03
  0  0   1.71e-03
  0  0   1.71e-03
  0  0   1.71e-03
  0  0   1.72e-03
  0  0   1.72e-03
  0  0   1.73e-03
  0  0   1.74e-03
  0  0   1.75e-03
  0  0   1.76e-03
  0  0   1.75e-03
  0  0   1.71e-03
  0  0   1.63e-03
  0  0   1.52e-03
  0  0   1.41e-03
