0.	0.	0.	0.	0.	! H0
7.47e-6	2.06	9.93	-3.89	0.	! He0
1.e-5	0.	0.	0.	0.	! He+
0.	0.	0.	0.	0.	! Li0
1.26	0.96	3.02	-0.65	0.	! Li+
1.e-5	0.	0.	0.	0.	! Li+2
0.	0.	0.	0.	0.	! Be0
1.e-5	0.	0.	0.	0.	! Be+
1.e-5	0.	0.	0.	0.	! Be+2
5.17	0.82	-.69	-1.12	0.	! Be+3
0.	0.	0.	0.	0.	! B0
2.e-2	0.	0.	0.	0.	! B+
1.e-5	0.	0.	0.	0.	! B+2
5.27e-1	0.76	-0.63	-1.17	0.	! B+3
1.76e-9	8.33	4278.78	-6.41	0.	! C0
1.67e-4	2.79	304.72	-4.07	0.	! C+
3.25	0.21	0.19	-3.29	0.	! C+2
332.46	-0.11	-0.995	-1.58e-3 0.	! C+3
1.01e-3	-0.29	-0.92	-8.38	0.	! N0
3.05e-1	0.60	2.65	-0.93	0.	! N+
4.54	0.57	-0.65	-0.89	0.	! N2+
3.28	0.52	-0.52	-0.19	0.	! N3+
1.04	3.15e-2	-0.61	-9.73	0.	! O0
1.04	0.27	2.02	-5.92	0.	! O+
3.98	0.26	0.56	-2.62	0.	! O2+
2.52e-1	0.63	2.08	-4.16	0.	! O3+
0.	0.	0.	0.	0.	! F0
1.e-5	0.	0.	0.	0.	! F+
9.86	0.29	-0.21	-1.15	0.	! F+2
7.15e-1	1.21	-0.70	-0.85	0.	! F3+
0.	0.	0.	0.	0.	! Ne0
1.e-5	0.	0.	0.	0.	! Ne+
14.73	4.52e-2	-0.84	-0.31	0.	! Ne+2
6.47	0.54	3.59	-5.22	0.	! Ne+3
0.	0.	0.	0.	0.	! Na0
1.e-5	0.	0.	0.	0.	! Na+
1.33	1.15	1.20	-0.32	0.	! Na+2
1.01e-1	1.34	10.05	-6.41	0.	! Na+3
0.	0.	0.	0.	0.	! Mg0
8.58e-5	2.49e-3	2.93e-2	-4.33	0.	! Mg+
6.49	0.53	2.82	-7.63	0.	! Mg+2
6.36	0.55	3.86	-5.19	0.	! Mg+3
0.	0.	0.	0.	0.	! Al0
1.e-5	0.	0.	0.	0.	! Al+
7.11e-5	4.12	1.72e4	-22.24	0.	! Al+2
7.52e-1	0.77	6.24	-5.67	0.	! Al+3
0.	0.	0.	0.	0.	! Si0
1.23	0.24	3.17	4.18e-3	0.	! Si+
4.900e-1 -8.74e-2 -0.36	-0.79	0.	! Si+2
7.58	0.37	1.06	-4.09	0.	! Si+3
3.82e-7	11.10	2.57e4	-8.22	0.	! S0
1.e-5	0.	0.	0.	0.	! S+
2.29	4.02e-2	1.59	-6.06	0.	! S+2
6.44	0.13	2.69	-5.69	0.	! S+3

