 Spectral energy distribution at the surface of the nebula: 
   viewPoints = 
    nu [Ryd]        lambda [um]        nu*F(nu)          
                                   [erg/sec/cm^2/str]    
   11.31034      8.0569433E-03  0.0000000E+00
   11.33534      8.0391737E-03  0.0000000E+00
   11.36034      8.0214832E-03  0.0000000E+00
   11.38534      8.0038700E-03  0.0000000E+00
   11.41034      7.9863332E-03  0.0000000E+00
   11.43534      7.9688737E-03  8.1380509E-02
   11.46034      7.9514906E-03  0.0000000E+00
   11.48534      7.9341829E-03  0.0000000E+00
   11.51034      7.9169506E-03  0.0000000E+00
   11.53534      7.8997929E-03  0.0000000E+00
   11.56034      7.8827087E-03  0.0000000E+00
   11.60513      7.8522833E-03  0.0000000E+00
   11.60543      7.8520793E-03  0.0000000E+00
   11.63043      7.8352019E-03  0.0000000E+00
   11.65543      7.8183962E-03  0.0000000E+00
   11.68043      7.8016622E-03  0.0000000E+00
   11.70543      7.7850004E-03  0.0000000E+00
   11.73043      7.7684089E-03  0.0000000E+00
   11.75543      7.7518881E-03  0.0000000E+00
   11.78043      7.7354377E-03  0.0000000E+00
   11.80543      7.7190567E-03  0.0000000E+00
   11.83043      7.7027455E-03  0.0000000E+00
   11.85543      7.6865023E-03  0.0000000E+00
   11.88043      7.6703280E-03  0.0000000E+00
   11.90543      7.6542213E-03  0.0000000E+00
   11.93043      7.6381825E-03  0.0000000E+00
   11.95543      7.6222103E-03  0.0000000E+00
   11.98043      7.6063052E-03  0.0000000E+00
   12.00543      7.5904662E-03  0.0000000E+00
   12.03043      7.5746928E-03  0.0000000E+00
   12.05542      7.5589851E-03  0.0000000E+00
   12.08042      7.5433422E-03  0.0000000E+00
   12.10542      7.5277640E-03  0.0000000E+00
   12.13042      7.5122500E-03  0.0000000E+00
   12.15542      7.4967998E-03  0.0000000E+00
   12.18042      7.4814130E-03  0.0000000E+00
   12.20542      7.4660894E-03  0.0000000E+00
   12.23042      7.4508283E-03  0.0000000E+00
   12.25927      7.4332957E-03  0.0000000E+00
   12.25957      7.4331132E-03  0.0000000E+00
   12.28457      7.4179866E-03  0.0000000E+00
   12.30957      7.4029216E-03  0.0000000E+00
   12.33457      7.3879170E-03  0.0000000E+00
   12.35957      7.3729740E-03  0.0000000E+00
   12.38457      7.3580905E-03  0.0000000E+00
   12.40957      7.3432676E-03  0.0000000E+00
   12.43457      7.3285038E-03  0.0000000E+00
   12.45957      7.3137996E-03  0.0000000E+00
   12.48457      7.2991541E-03  0.0000000E+00
   12.50957      7.2845672E-03  0.0000000E+00
   12.53457      7.2700381E-03  0.0000000E+00
   12.55957      7.2555672E-03  0.0000000E+00
   12.58457      7.2411541E-03  0.0000000E+00
   12.60956      7.2267978E-03  0.0000000E+00
   12.63456      7.2124982E-03  0.0000000E+00
   12.65956      7.1982555E-03  0.0000000E+00
   12.68456      7.1840687E-03  0.0000000E+00
   12.70956      7.1699377E-03  0.0000000E+00
   12.73456      7.1558622E-03  0.0000000E+00
   12.75956      7.1418416E-03  0.0000000E+00
   12.78456      7.1278759E-03  0.0000000E+00
   12.80956      7.1139652E-03  0.0000000E+00
   12.83456      7.1001081E-03  0.0000000E+00
   12.85956      7.0863054E-03  0.0000000E+00
   12.88456      7.0725558E-03  9.1694005E-02
   12.90956      7.0588598E-03  0.0000000E+00
   12.93456      7.0452164E-03  0.0000000E+00
   12.95956      7.0316261E-03  0.0000000E+00
   12.98456      7.0180879E-03  0.0000000E+00
   13.00956      7.0046014E-03  0.0000000E+00
   13.03456      6.9911671E-03  9.2761479E-02
   13.05956      6.9777840E-03  0.0000000E+00
   13.08456      6.9644521E-03  0.0000000E+00
   13.10956      6.9511710E-03  0.0000000E+00
   13.13456      6.9379406E-03  0.0000000E+00
   13.15956      6.9247605E-03  0.0000000E+00
   13.18456      6.9116303E-03  0.0000000E+00
   13.20956      6.8985494E-03  0.0000000E+00
   13.23456      6.8855183E-03  0.0000000E+00
   13.25955      6.8725366E-03  0.0000000E+00
   13.28455      6.8596033E-03  0.0000000E+00
   13.30955      6.8467190E-03  0.0000000E+00
   13.33455      6.8338825E-03  0.0000000E+00
   13.35955      6.8210945E-03  0.0000000E+00
   13.38455      6.8083541E-03  0.0000000E+00
   13.40955      6.7956611E-03  0.0000000E+00
   13.43455      6.7830156E-03  0.0000000E+00
   13.45955      6.7704166E-03  0.0000000E+00
   13.48455      6.7578647E-03  0.0000000E+00
   13.50955      6.7453594E-03  0.0000000E+00
   13.53455      6.7328997E-03  0.0000000E+00
   13.55955      6.7204866E-03  0.0000000E+00
   13.58455      6.7081186E-03  0.0000000E+00
   13.60955      6.6957967E-03  0.0000000E+00
   13.63455      6.6835196E-03  0.0000000E+00
   13.65955      6.6712871E-03  0.0000000E+00
   13.70719      6.6480990E-03  0.0000000E+00
   13.70749      6.6479533E-03  0.0000000E+00
   14.17533      6.4285453E-03  0.0000000E+00
   14.64318      6.2231566E-03  0.0000000E+00
   15.11102      6.0304860E-03  0.0000000E+00
   15.57886      5.8493875E-03  0.0000000E+00
   16.04670      5.6788484E-03  0.0000000E+00
   16.51454      5.5179717E-03  0.0000000E+00
   16.98238      5.3659589E-03  0.0000000E+00
   17.45023      5.2220970E-03  0.0000000E+00
   17.91807      5.0857477E-03  0.0000000E+00
   18.38591      4.9563376E-03  0.0000000E+00
   18.85375      4.8333495E-03  0.0000000E+00
   19.32159      4.7163176E-03  0.0000000E+00
   19.78944      4.6048192E-03  0.0000000E+00
   20.25728      4.4984706E-03  0.0000000E+00
   20.72512      4.3969238E-03  0.0000000E+00
   21.19296      4.2998600E-03  0.0000000E+00
   21.66080      4.2069894E-03  0.0000000E+00
   22.12865      4.1180453E-03  0.0000000E+00
   22.59649      4.0327846E-03  0.0000000E+00
   23.06433      3.9509828E-03  0.0000000E+00
   23.53217      3.8724334E-03  0.0000000E+00
   24.00002      3.7969465E-03  0.0000000E+00
  
 Total energy radiated out of the nebula [e36 erg/s]:   29.12954    
 All SEDs given per unit direction
 To obtain total emission over all directions must multiply by Pi
