 6  6   0.0108  -0.1075   0.2810  -0.0193  -0.1127 0
 6  5   1.8267   4.1012   4.8443   0.2261   0.5960 0
 6  4   2.3196  10.7328   6.8830  -0.1824   0.4101 0
 7  6   0.0320  -0.6624   4.3191   0.0003   0.5946 0
 7  5  -0.8806  11.2406  30.7066  -1.1721   0.6127 0
 7  4   0.4134  -4.6319  25.9172  -2.2290   0.2360 0
 8  8  -0.0001   0.0001   0.0956   0.0193   0.4106 1
 8  8   0.3715  -0.0239  -0.0597   0.0678   0.7993 2
 8  7  -0.0036   0.7519   1.5252  -0.0838   0.2769 0
 8  6   0.0000  21.8790  16.2730  -0.7020   1.1899 0
 8  5  -0.3648   7.2698  17.2187   9.8335  -0.0166 1
 8  5  -2.5053   3.4903  67.4128  -3.4450   0.8501 2
 8  4  -2.8425   0.2283  40.4072  -3.4956   1.7558 0
10  9   0.0129  -0.1779   0.9353  -0.0682   0.4516 0
10  8   3.6781  14.1481  17.1175  -0.5017   0.2313 0
10  7  -0.0254   5.5365  17.0727  -0.7225   0.1702 0
10  6  -0.0141  33.8479  43.1608  -1.6072   0.1942 0
10  5  19.9280 235.0536 152.5096   9.1413   0.1282 0
10  4   5.4751 203.9751  86.9016  -7.4568   2.5145 0
12 12   1.2044  -4.6836   7.6620  -0.5930   1.6260 0
13 13   0.0219  -0.4528   2.5427  -0.1678   0.2276 0
13 12   0.7086  -3.1083   7.0422   0.5998   0.4194 0
14 14  -0.0219   0.4364   0.0684  -0.0032   0.1342 0
14 13   3.2163 -12.0571  16.2118  -0.5886   0.5613 0
14 12   0.1203  -2.6900  19.1943  -0.1479   0.1118 0
