

C=COMPOSITE  CL=COULOMB  OP=OP  DRK=DRAKE  FDR=FIITED DRAKE  HY=HYDROGENIC




    1  1S  TO  1P
    *************

    9   6.9626D+05  1.000  1.004  0.000  0.976  1.212
   10   5.1016D+05  1.000  1.004  0.000  0.976  1.206
   11   3.8468D+05  0.000  1.004  1.000  0.976  1.201
   12   2.9713D+05  0.000  1.005  1.000  0.976  1.197
   13   2.3421D+05  0.000  1.005  1.000  0.976  1.194
   14   1.8784D+05  0.000  1.004  1.000  0.975  1.191
   15   1.5294D+05  0.000  1.004  1.000  0.000  1.190
   16   1.2616D+05  0.000  1.004  1.000  0.000  1.188
   17   1.0528D+05  0.000  1.004  1.000  0.000  1.187
   18   8.8761D+04  0.000  1.004  1.000  0.000  1.186
   19   7.5523D+04  0.000  1.004  1.000  0.000  1.185
   20   6.4789D+04  0.000  1.004  1.000  0.000  1.184
   21   5.5996D+04  0.000  1.004  1.000  0.000  1.183
   22   4.8723D+04  0.000  1.004  1.000  0.000  1.183
   23   4.2657D+04  0.000  1.004  1.000  0.000  1.182
   24   3.7557D+04  0.000  1.004  1.000  0.000  1.182
   25   3.3238D+04  0.000  1.005  1.000  0.000  1.181
   26   2.9557D+04  0.000  0.000  1.000  0.000  1.181
   27   2.6399D+04  0.000  0.000  1.000  0.000  1.180
   28   2.3676D+04  0.000  0.000  1.000  0.000  1.180
   29   2.1314D+04  0.000  0.000  1.000  0.000  1.180
   30   1.9257D+04  0.000  0.000  1.000  0.000  1.180
   31   1.7455D+04  0.000  0.000  1.000  0.000  1.179
   32   1.5872D+04  0.000  0.000  1.000  0.000  1.179
   33   1.4474D+04  0.000  0.000  1.000  0.000  1.179
   34   1.3236D+04  0.000  0.000  1.000  0.000  1.179
   35   1.2135D+04  0.000  0.000  1.000  0.000  1.179
   36   1.1153D+04  0.000  0.000  1.000  0.000  1.179
   37   1.0274D+04  0.000  0.000  1.000  0.000  1.178
   38   9.4849D+03  0.000  0.000  1.000  0.000  1.178
   39   8.7746D+03  0.000  0.000  1.000  0.000  1.178
   40   8.1334D+03  0.000  0.000  1.000  0.000  1.178


    3  1S  TO  1P
    *************

   NU    COMPOSITE  DRK/C   OP/C FDR/OP   CL/C   HY/C
    3   2.5176D+05  1.000  1.000  0.000  0.997  0.000
    4   1.4058D+06  1.000  1.009  0.000  0.994  2.181
    5   9.2498D+05  1.000  1.007  0.000  0.993  1.771
    6   5.8287D+05  1.000  1.006  0.000  0.993  1.639
    7   3.8260D+05  1.000  1.006  0.000  0.993  1.575
    8   2.6253D+05  1.000  1.005  0.000  0.992  1.539
    9   1.8722D+05  1.000  1.005  0.000  0.992  1.515
   10   1.3792D+05  1.000  1.005  0.000  0.992  1.499
   11   1.0438D+05  0.000  1.005  1.000  0.992  1.488
   12   8.0842D+04  0.000  1.005  1.000  0.992  1.479
   13   6.3852D+04  0.000  1.005  1.000  0.992  1.473
   14   5.1292D+04  0.000  1.005  1.000  0.992  1.468
   15   4.1812D+04  0.000  1.005  1.000  0.991  1.464
   16   3.4525D+04  0.000  1.005  1.000  0.991  1.461
   17   2.8835D+04  0.000  1.005  1.000  0.991  1.458
   18   2.4327D+04  0.000  1.005  1.000  0.991  1.456
   19   2.0710D+04  0.000  1.005  1.000  0.991  1.454
   20   1.7775D+04  0.000  1.005  1.000  0.991  1.452
   21   1.5369D+04  0.000  1.005  1.000  0.991  1.451
   22   1.3378D+04  0.000  1.005  1.000  0.991  1.449
   23   1.1716D+04  0.000  1.005  1.000  0.991  1.448
   24   1.0318D+04  0.000  1.005  1.000  0.991  1.447
   25   9.1333D+03  0.000  1.006  1.000  0.991  1.446
   26   8.1234D+03  0.000  0.000  1.000  0.991  1.446
   27   7.2569D+03  0.000  0.000  1.000  0.991  1.445
   28   6.5093D+03  0.000  0.000  1.000  0.990  1.444
   29   5.8609D+03  0.000  0.000  1.000  0.990  1.444
   30   5.2958D+03  0.000  0.000  1.000  0.990  1.443
   31   4.8010D+03  0.000  0.000  1.000  0.990  1.443
   32   4.3660D+03  0.000  0.000  1.000  0.990  1.443
   33   3.9819D+03  0.000  0.000  1.000  0.990  1.442
   34   3.6416D+03  0.000  0.000  1.000  0.990  1.442
   35   3.3389D+03  0.000  0.000  1.000  0.990  1.442
   36   3.0689D+03  0.000  0.000  1.000  0.990  1.441
   37   2.8272D+03  0.000  0.000  1.000  0.990  1.441
   38   2.6103D+03  0.000  0.000  1.000  0.990  1.441
   39   2.4149D+03  0.000  0.000  1.000  0.990  1.441
   40   2.2386D+03  0.000  0.000  1.000  0.990  1.440


    4  1S  TO  1P
    *************

   NU    COMPOSITE  DRK/C   OP/C FDR/OP   CL/C   HY/C
    4   5.8248D+04  1.000  1.000  0.000  0.999  0.000
    5   2.9325D+05  1.000  1.009  0.000  0.997  2.515
    6   2.2046D+05  1.000  1.007  0.000  0.997  2.022
    7   1.5207D+05  1.000  1.005  0.000  0.997  1.860
    8   1.0661D+05  1.000  1.006  0.000  0.996  1.781
    9   7.6907D+04  1.000  1.005  0.000  0.996  1.733
   10   5.7049D+04  1.000  1.005  0.000  0.996  1.703
   11   4.3367D+04  0.000  1.005  1.000  0.996  1.682
   12   3.3690D+04  0.000  1.005  1.000  0.997  1.667
   13   2.6667D+04  0.000  1.005  1.000  0.997  1.656
   14   2.1456D+04  0.000  1.006  1.000  0.997  1.647
   15   1.7512D+04  0.000  1.006  1.000  0.998  1.640
   16   1.4475D+04  0.000  1.006  1.000  0.998  1.635
   17   1.2098D+04  0.000  1.006  1.000  0.998  1.630
   18   1.0213D+04  0.000  1.007  1.000  0.998  1.627
   19   8.6994D+03  0.000  1.006  1.000  0.998  1.623
   20   7.4698D+03  0.000  1.006  1.000  0.998  1.621
   21   6.4610D+03  0.000  1.006  1.000  0.998  1.618
   22   5.6256D+03  0.000  1.006  1.000  0.998  1.616
   23   4.9280D+03  0.000  1.006  1.000  0.998  1.615
   24   4.3409D+03  0.000  1.006  1.000  0.998  1.613
   25   3.8434D+03  0.000  1.006  1.000  0.998  1.612
   26   3.4190D+03  0.000  0.000  1.000  0.998  1.611
