2
 S II  Collision strengths Keenan et al. 1995, MN, submitted
       Aij's from Mendoza & Zeippen (MNRAS,198,127,1982)
    5 7 0
3p3  4So(3/2)
3p3  2Do(3/2)
3p3  2Do(5/2)
3p3  2Po(1/2)
3p3  2Po(3/2)
 5000
 7500
10000
12500
15000
17500
20000
 0
  1 2    3.06   5000.
  0 0    2.89   7500.
  0 0    2.76  10000.
  0 0    2.66  12500.
  0 0    2.57  15000.
  0 0    2.51  17500.
  0 0    2.45  20000.
  1 3    4.59   5000.
  0 0    4.34   7500.
  0 0    4.14  10000.
  0 0    3.98  12500.
  0 0    3.86  15000.
  0 0    3.76  17500.
  0 0    3.68  20000.
  2 3    7.98   5000.
  0 0    7.74   7500.
  0 0    7.47  10000.
  0 0    7.22  12500.
  0 0    7.01  15000.
  0 0    6.83  17500.
  0 0    6.68  20000.
  1 4    1.23   5000.
  0 0    1.20   7500.
  0 0    1.17  10000.
  0 0    1.14  12500.
  0 0    1.12  15000.
  0 0    1.10  17500.
  0 0    1.08  20000.
  1 5    2.46   5000.
  0 0    2.41   7500.
  0 0    2.35  10000.
  0 0    2.29  12500.
  0 0    2.24  15000.
  0 0    2.19  17500.
  0 0    2.15  20000.
  2 4    2.01   5000.
  0 0    1.89   7500.
  0 0    1.79  10000.
  0 0    1.73  12500.
  0 0    1.68  15000.
  0 0    1.64  17500.
  0 0    1.61  20000.
  2 5    3.25   5000.
  0 0    3.11   7500.
  0 0    3.00  10000.
  0 0    2.91  12500.
  0 0    2.84  15000.
  0 0    2.79  17500.
  0 0    2.75  20000.
  3 4    2.37   5000.
  0 0    2.28   7500.
  0 0    2.20  10000.
  0 0    2.14  12500.
  0 0    2.09  15000.
  0 0    2.05  17500.
  0 0    2.02  20000.
  3 5    5.52   5000.
  0 0    5.21   7500.
  0 0    4.99  10000.
  0 0    4.82  12500.
  0 0    4.69  15000.
  0 0    4.59  17500.
  0 0    4.51  20000.
  4 5    2.98   5000.
  0 0    2.84   7500.
  0 0    2.71  10000.
  0 0    2.61  12500.
  0 0    2.53  15000.
  0 0    2.46  17500.
  0 0    2.40  20000.
 0 0 0
    1    3 2.60000E-04
    1    2 8.82000E-04
    1    5 2.25000E-01
    1    4 9.06000E-02
    2    3 3.35000E-07
    4    5 1.03000E-06
    3    5 1.79000E-01
    2    5 1.33000E-01
    3    4 7.79000E-02
    2    4 1.63000E-01
    1    4      0.00
    2    4  14851.9
    3    6  14883.4
    4    2  24524.2
    5    4  24572.8
