   2.136  -0.802  -0.067  -0.103  -1.472   1.090   2.053   1858.5540  0.4286
   2.136  -0.802  -0.067  -0.103  -1.472   1.090   2.053   1858.5540  0.2963
   2.136  -0.802  -0.067  -0.103  -1.472   1.090   2.053   1858.6420  0.2000
   2.136  -0.802  -0.067  -0.103  -1.472   1.090   2.053   1860.7400  0.0370
   2.136  -0.802  -0.067  -0.103  -1.472   1.090   2.053   1861.8710  0.0370
   3.330  -0.800  -0.061  -0.116  -1.526   0.895   1.767  14337.7100  0.2963
   3.330  -0.800  -0.061  -0.116  -1.526   0.895   1.767  14358.6300  0.4286
   3.330  -0.800  -0.061  -0.116  -1.526   0.895   1.767  14364.8600  0.2000
   3.330  -0.800  -0.061  -0.116  -1.526   0.895   1.767  14471.2000  0.0370
   3.330  -0.800  -0.061  -0.116  -1.526   0.895   1.767  14538.1000  0.0370
   3.330  -0.800  -0.061  -0.116  -1.526   0.895   1.767  14675.3000  0.0011
   3.505  -0.800  -0.061  -0.116  -1.525   0.891   1.675   2316.4930  0.2963
   3.505  -0.800  -0.061  -0.116  -1.525   0.891   1.675   2316.6900  0.2000
   3.505  -0.800  -0.061  -0.116  -1.525   0.891   1.675   2317.0460  0.4286
   3.505  -0.800  -0.061  -0.116  -1.525   0.891   1.675   2319.9410  0.0370
   3.505  -0.800  -0.061  -0.116  -1.525   0.891   1.675   2321.6500  0.0370
   3.505  -0.800  -0.061  -0.116  -1.525   0.891   1.675   2325.1600  0.0011
   2.185  -0.807  -0.086  -0.088  -1.559   1.009   2.551   2520.2220  0.1111
   2.185  -0.807  -0.086  -0.088  -1.559   1.009   2.551   2520.7910  0.2500
   2.185  -0.807  -0.086  -0.088  -1.559   1.009   2.551   2522.2270  0.4667
   2.185  -0.807  -0.086  -0.088  -1.559   1.009   2.551   2522.4580  0.0833
   2.185  -0.807  -0.086  -0.088  -1.559   1.009   2.551   2524.4880  0.0833
   2.185  -0.807  -0.086  -0.088  -1.559   1.009   2.551   2526.1700  0.0056
   2.313  -0.888  -0.001  -0.089  -1.514   0.948   2.045   6114.5980  0.0011
   2.313  -0.888  -0.001  -0.089  -1.514   0.948   2.045   6136.8940  0.0370
   2.313  -0.888  -0.001  -0.089  -1.514   0.948   2.045   6150.7550  0.0370
   2.313  -0.888  -0.001  -0.089  -1.514   0.948   2.045   6167.7550  0.4286
   2.313  -0.888  -0.001  -0.089  -1.514   0.948   2.045   6170.1660  0.2000
   2.313  -0.888  -0.001  -0.089  -1.514   0.948   2.045   6173.3130  0.2963
   2.166  -0.888  -0.001  -0.089  -1.514   0.943   1.953   1857.8676  0.2500
