 21 22
  10.  100.  200.  300.  400.  600.  800.  1000.  2000.  4000.  6000.  8000.  10000.  12000.  14000.  16000.  18000.  20000.  22000.  26000.  30000.
0.0069 2.763E-04 2.520E+01 2.986E+01 2.874E+01 2.705E+01 2.410E+01 2.190E+01 2.026E+01 1.578E+01 1.243E+01 1.094E+01 1.006E+01 9.467E+00 9.024E+00 8.676E+00 8.393E+00 8.156E+00 7.952E+00 7.774E+00 7.476E+00 7.231E+00
0.0082 1.677E-05 2.145E+01 2.789E+01 2.752E+01 2.619E+01 2.356E+01 2.150E+01 1.992E+01 1.553E+01 1.218E+01 1.070E+01 9.821E+00 9.225E+00 8.784E+00 8.439E+00 8.159E+00 7.924E+00 7.724E+00 7.549E+00 7.256E+00 7.018E+00
0.0084 1.020E+03 1.492E+02 7.490E+01 5.331E+01 4.297E+01 3.270E+01 2.745E+01 2.418E+01 1.701E+01 1.269E+01 1.096E+01 9.977E+00 9.326E+00 8.852E+00 8.487E+00 8.192E+00 7.947E+00 7.739E+00 7.558E+00 7.257E+00 7.012E+00
0.0099 3.089E-08 1.335E+01 2.250E+01 2.397E+01 2.363E+01 2.198E+01 2.038E+01 1.906E+01 1.506E+01 1.185E+01 1.039E+01 9.525E+00 8.935E+00 8.500E+00 8.160E+00 7.884E+00 7.654E+00 7.458E+00 7.287E+00 7.001E+00 6.769E+00
0.0101 1.353E+03 1.870E+02 8.702E+01 5.945E+01 4.675E+01 3.459E+01 2.858E+01 2.492E+01 1.713E+01 1.256E+01 1.077E+01 9.759E+00 9.095E+00 8.615E+00 8.246E+00 7.950E+00 7.705E+00 7.497E+00 7.318E+00 7.020E+00 6.780E+00
0.0122 2.705E-12 6.403E+00 1.619E+01 1.944E+01 2.026E+01 1.985E+01 1.886E+01 1.788E+01 1.448E+01 1.147E+01 1.005E+01 9.205E+00 8.625E+00 8.197E+00 7.863E+00 7.593E+00 7.367E+00 7.175E+00 7.008E+00 6.729E+00 6.504E+00
0.0124 1.850E+03 2.470E+02 1.065E+02 6.929E+01 5.280E+01 3.762E+01 3.041E+01 2.614E+01 1.740E+01 1.249E+01 1.060E+01 9.553E+00 8.868E+00 8.377E+00 8.002E+00 7.702E+00 7.456E+00 7.248E+00 7.068E+00 6.773E+00 6.535E+00
0.0155 1.482E-18 1.944E+00 9.515E+00 1.390E+01 1.587E+01 1.693E+01 1.674E+01 1.623E+01 1.370E+01 1.101E+01 9.671E+00 8.851E+00 8.287E+00 7.869E+00 7.543E+00 7.279E+00 7.059E+00 6.871E+00 6.709E+00 6.438E+00 6.220E+00
0.0157 2.624E+03 3.451E+02 1.396E+02 8.599E+01 6.301E+01 4.272E+01 3.351E+01 2.824E+01 1.794E+01 1.250E+01 1.048E+01 9.370E+00 8.654E+00 8.145E+00 7.759E+00 7.453E+00 7.202E+00 6.991E+00 6.811E+00 6.515E+00 6.279E+00
0.0203 1.042E-28 2.540E-01 3.821E+00 7.852E+00 1.051E+01 1.300E+01 1.377E+01 1.388E+01 1.260E+01 1.042E+01 9.210E+00 8.443E+00 7.906E+00 7.504E+00 7.190E+00 6.935E+00 6.722E+00 6.540E+00 6.383E+00 6.122E+00 5.911E+00
0.0205 3.900E+03 5.108E+02 1.986E+02 1.162E+02 8.154E+01 5.193E+01 3.912E+01 3.204E+01 1.902E+01 1.269E+01 1.044E+01 9.237E+00 8.471E+00 7.932E+00 7.527E+00 7.209E+00 6.950E+00 6.733E+00 6.549E+00 6.249E+00 6.012E+00
0.0277 0.000E+00 6.376E-03 7.096E-01 2.736E+00 4.926E+00 8.047E+00 9.701E+00 1.053E+01 1.095E+01 9.597E+00 8.610E+00 7.935E+00 7.448E+00 7.077E+00 6.783E+00 6.542E+00 6.340E+00 6.168E+00 6.018E+00 5.769E+00 5.569E+00
