0.      0.0
0.025   7.77 
0.05   25.2
0.075  43.5
0.1    59.9
0.125  74.2
0.15   86.4
0.175  96.9
0.2   106.
0.225 113.
0.25  120.
0.275 125.
0.3   130.
0.325 134.
0.35  137.
0.375 140.
0.4   142.
0.425 143.
0.45  145.
0.475 145.
0.5   145.
0.525 145.
0.55  145.
0.575 143.
0.6   142.
0.625 140.
0.65  137.
0.675 134.
0.7   130.
0.725 125.
0.75  120.
0.775 113.
0.8   106.
0.825  96.9
0.85   86.4
0.875  74.1
0.9    59.9
0.925  43.5
0.95   25.2
0.975   7.77
1.      0.

! HeI 2 1s - 1 1s hv-distribution
! Drake et al. Phys.Rev. 180(1969)25
!
