  560.4  0.  3.22E-10  0.8500  0.12
  611.9  1.  9.32E-11  0.7340  0.16
 2816.9  0.  3.79E-11  0.8050  0.22
 3069.9  1.  9.73E-12  0.9910  0.08
   10.4  1.  5.49E-08  0.1000  0.25
   23.3  1.  6.81E-08  0.6930  0.21
   34.8  1.  2.14E-08  0.3530  0.24
   47.3  1.  1.66E-08  1.0300  0.14
   72.6  1.  6.12E-09  0.5800  0.19
   88.1  1.  1.33E-09  0.0688  0.35
  280.9  0.  4.93E-09  1.1300  0.16
  328.2  1.  8.73E-10  0.1930  0.28
  379.1  0.  1.35E-09  0.4310  0.32
  447.1  1.  4.59E-10  0.2420  0.28
  504.8  1.  3.49E-10  0.3050  0.25
  564.7  0.  5.23E-10  0.4280  0.35
  651.6  0.  2.59E-10  0.8540  0.12
  707.2  1.  7.50E-11  0.7340  0.16
 3223.9  0.  2.67E-11  0.5720  0.28
 3494.2  1.  6.32E-12  0.5850  0.17
   13.0  1.  1.69E-07  0.4300  0.24
   23.8  1.  6.96E-08  0.6700  0.20
   39.6  1.  3.40E-08  0.8650  0.18
   53.5  1.  1.10E-08  0.3280  0.25
   67.8  1.  1.11E-08  1.3700  0.10
   97.0  1.  3.17E-09  0.3300  0.24
  114.2  1.  1.01E-09  0.1960  0.16
  348.3  0.  2.11E-09  0.3130  0.37
  400.1  1.  6.32E-10  0.1730  0.30
  455.6  0.  9.48E-10  0.3440  0.36
  529.3  1.  3.69E-10  0.2730  0.26
  592.0  1.  2.85E-10  0.3430  0.23
  656.7  0.  4.81E-10  0.6580  0.27
  749.8  1.  1.31E-10  0.6230  0.16
  809.4  1.  6.13E-11  0.7360  0.16
 3658.4  0.  1.90E-11  0.3790  0.36
 3946.3  1.  5.14E-12  0.5530  0.18
   15.8  1.  5.99E-08  0.1360  0.26
   27.6  1.  6.07E-08  0.5440  0.21
   40.9  1.  3.43E-08  0.8340  0.17
   52.3  0.  3.00E-08  1.0300  0.25
   75.0  1.  8.73E-09  0.3660  0.31
   91.0  1.  5.78E-09  0.3140  0.34
  124.3  1.  2.98E-09  0.7030  0.16
  143.5  1.  7.25E-10  0.2070  0.15
  422.4  1.  1.40E-09  0.6960  0.13
  478.7  1.  4.78E-10  0.1640  0.31
  539.0  0.  8.02E-10  0.4390  0.32
  618.3  1.  2.88E-10  0.2590  0.27
  686.1  1.  2.32E-10  0.3620  0.22
  755.7  0.  3.33E-10  0.4120  0.36
  854.8  1.  1.27E-10  0.9100  0.13
  918.0  1.  5.21E-11  0.7810  0.15
 4120.7  0.  1.66E-11  0.4350  0.33
 4426.2  1.  4.32E-12  0.5540  0.18
    4.3  1.  2.02E-07  0.2720  0.31
   31.6  1.  4.01E-08  0.3710  0.22
   45.8  1.  1.50E-08  0.4330  0.21
   60.9  1.  1.94E-08  0.8890  0.16
   82.7  1.  6.95E-09  0.4940  0.18
   99.4  1.  4.11E-09  0.5400  0.17
  117.6  1.  2.23E-09  0.5190  0.16
  154.7  1.  2.15E-09  0.8280  0.14
  175.8  0.  1.61E-09  0.6420  0.13
  504.0  1.  1.07E-09  0.6950  0.13
  564.7  1.  3.78E-10  0.1730  0.30
  629.4  0.  6.24E-10  0.4180  0.33
  714.6  1.  2.29E-10  0.2450  0.28
  786.6  1.  1.86E-10  0.3440  0.23
  861.1  0.  2.69E-10  0.3960  0.37
  968.0  1.  1.06E-10  0.9120  0.13
 1053.4  1.  4.24E-11  0.7370  0.16
 4610.9  0.  1.38E-11  0.4160  0.34
 4934.1  1.  3.67E-12  0.5550  0.18
    6.1  0.  4.40E-07  0.8480  0.33
   11.9  0.  5.22E-08  0.1510  0.34
   50.9  1.  2.06E-08  0.4180  0.20
   67.3  1.  1.72E-08  0.6380  0.19
   84.5  1.  1.26E-08  1.0100  0.14
  108.8  1.  4.72E-09  0.5260  0.17
  127.2  1.  2.89E-09  0.5480  0.17
  147.2  1.  1.64E-09  0.5520  0.15
  188.3  1.  1.57E-09  0.7990  0.14
  211.3  1.  4.32E-10  0.2320  0.14
  591.9  0.  9.47E-10  0.3110  0.38
  657.2  1.  2.98E-10  0.1630  0.31
  726.6  0.  4.78E-10  0.3590  0.36
  817.6  1.  1.86E-10  0.2440  0.28
  894.5  1.  1.56E-10  0.3640  0.22
  974.0  0.  2.16E-10  0.3570  0.39
 1087.0  1.  7.70E-11  0.6550  0.15
 1157.0  1.  3.58E-11  0.7360  0.16
 5128.9  0.  1.28E-11  0.5200  0.30
 5469.9  1.  3.08E-12  0.5280  0.19
    6.6  1.  3.16E-07  0.2040  0.28
   12.8  1.  8.61E-08  0.1810  0.25
   24.8  1.  5.08E-08  0.3570  0.24
   73.5  1.  1.00E-08  0.4530  0.15
   91.9  1.  6.76E-09  0.4600  0.15
  110.7  1.  5.27E-09  0.5610  0.17
  138.0  1.  3.40E-09  0.5600  0.16
  158.1  1.  2.18E-09  0.6120  0.15
  180.0  1.  1.26E-09  0.6100  0.14
  225.1  1.  1.24E-09  0.8520  0.13
  249.8  1.  3.62E-10  0.3490  0.05
  687.4  1.  5.52E-10  0.3750  0.28
  756.7  1.  5.64E-10  0.8730  0.15
  830.8  1.  4.50E-10  1.0500  0.13
  927.5  1.  2.73E-10  0.8660  0.15
 1009.0  1.  1.56E-10  0.7150  0.17
 1094.0  0.  1.81E-10  1.1400  0.36
 1213.0  1.  4.29E-11  0.7840  0.15
 1288.0  0.  2.21E-11  0.0270  0.82
 5674.9  1.  4.51E-12  0.9180  0.04
 6033.8  0.  2.03E-12  0.0170  0.70
    6.8  1.  1.60E-07  0.3600  0.28
   13.6  0.  2.14E-07  0.8800  0.28
   27.5  1.  2.85E-08  0.2270  0.21
   43.3  1.  3.48E-08  0.3900  0.23
   99.3  1.  1.00E-08  0.5790  0.18
  119.5  1.  7.01E-09  0.6380  0.17
  140.8  1.  4.95E-09  0.7170  0.16
  170.4  1.  2.99E-09  0.6930  0.17
  192.1  1.  2.10E-09  0.7220  0.16
  215.9  1.  1.62E-09  0.7650  0.14
  265.0  1.  1.11E-09  0.8850  0.12
  291.5  0.  9.09E-10  0.9720  0.06
  787.8  1.  4.41E-10  0.3590  0.29
  863.1  1.  4.39E-10  0.7810  0.17
  941.9  1.  3.73E-10  1.0500  0.13
 1044.0  1.  2.28E-10  0.8580  0.15
 1131.0  1.  1.34E-10  0.7570  0.16
 1221.0  0.  1.55E-10  1.1500  0.36
 1346.0  1.  3.80E-11  0.8350  0.14
 1426.0  0.  1.89E-11  0.0280  0.82
 6249.1  1.  4.01E-12  0.9680  0.03
 6625.0  1.  1.62E-12  0.6570  0.14
    6.7  0.  8.82E-07  0.3590  0.32
   14.7  0.  3.11E-07  0.4320  0.29
   29.3  1.  3.50E-08  0.2470  0.25
   46.7  0.  5.32E-08  1.1100  0.16
   65.3  1.  8.98E-09  0.1400  0.37
  128.1  1.  5.87E-09  0.5170  0.17
  150.6  1.  5.11E-09  0.6790  0.16
  173.4  1.  3.71E-09  0.7610  0.15
  205.8  1.  2.24E-09  0.7110  0.17
  230.5  1.  1.65E-09  0.7640  0.15
  256.0  1.  1.26E-09  0.7620  0.14
  308.0  1.  8.86E-10  0.8860  0.12
  336.3  0.  3.89E-10  0.1420  0.39
  896.0  1.  3.80E-10  0.4090  0.27
  976.0  0.  4.84E-10  0.1730  0.57
 1060.0  1.  2.49E-10  0.6500  0.14
 1168.0  0.  5.91E-10  1.6100  0.18
 1260.0  0.  5.02E-10  2.1200  0.15
 1355.0  1.  5.38E-11  0.1370  0.40
 1486.0  1.  5.56E-11  0.7080  0.10
 1571.0  0.  2.84E-11  0.0240  0.79
 6851.3  0.  2.54E-11  2.9200  0.09
 7246.1  0.  1.32E-11  3.5100  0.07
    6.8  1.  1.03E-07  0.2170  0.27
   16.5  0.  2.45E-07  0.3810  0.32
   31.0  0.  1.09E-07  0.5180  0.27
   49.1  1.  1.52E-08  0.1820  0.30
   69.5  0.  3.25E-08  1.3600  0.13
   90.6  1.  5.50E-09  0.1430  0.37
  160.2  1.  5.13E-09  0.6570  0.16
  184.7  1.  3.85E-09  0.7220  0.15
  209.3  1.  2.81E-09  0.7590  0.15
  244.4  1.  1.76E-09  0.7320  0.16
  271.0  1.  1.30E-09  0.7640  0.15
  298.0  1.  1.02E-09  0.8100  0.13
  354.8  1.  7.19E-10  0.8870  0.12
  384.2  1.  1.61E-10  0.1500  0.22
 1011.0  1.  4.64E-10  0.9710  0.12
 1097.0  1.  3.31E-10  0.9240  0.14
 1185.0  1.  2.49E-10  0.9310  0.15
 1299.0  1.  1.68E-10  0.9100  0.14
 1396.0  1.  1.01E-10  0.8050  0.15
 1496.0  0.  1.17E-10  1.2100  0.35
 1634.0  1.  2.91E-11  0.8840  0.13
 1721.0  0.  1.45E-11  0.0350  0.80
 7482.0  1.  3.07E-12  0.9670  0.03
 7894.8  1.  1.46E-12  0.1830  0.39
    7.4  1.  8.56E-08  0.1320  0.26
   15.6  0.  1.18E-07  0.3590  0.19
   33.7  0.  8.54E-08  0.3970  0.32
   51.2  1.  1.80E-08  0.2720  0.18
   72.4  1.  8.22E-09  0.1610  0.32
