2
 NiII : Omegas and Aij's from Nussbaumer & Storey (A&A 110,295,1982).
 Entered by Dean Johnson 6-6-1991
17 1   0
1  3d9   2D(5/2)
2  3d9   2D(3/2)
3  3d84s 4F(9/2)
4  3d84s 4F(7/2)
5  3d84s 4F(5/2)
6  3d84s 4F(3/2)
7  3d84s 2F(7/2)
8  3d84s 2F(5/2)
9  3d84s 2D(5/2)
10 3d84s 2D(3/2)
11 3d84s 4P(3/2)
12 3d84s 4P(1/2)
13 3d84s 4P(5/2)
14 3d84s 2P(3/2)
15 3d84s 2P(1/2)
16 3d84s 2G(9/2)
17 3d84s 2G(7/2)
10000
0
13 14 5.94e-3
1  15 4.11
2  15 4.62
3  15 0.00000
4  15 0.00000
5  15 4.45e-4
6  15 1.39e-3
7  15 0.00000
8  15 2.29e-2
9  15 8.20e-6
10 15 7.72e-2
11 15 7.82e-3
12 15 6.07e-3
13 15 1.03e-6
14 15 2.50e-3
1  16 4.60
2  16 0.00000
3  16 3.17e-1
4  16 7.36e-2
5  16 1.29e-4
6  16 0.00000
7  16 8.59e-2
8  16 5.87e-4
9  16 2.91e-4
10 16 0.00000
11 16 0.00000
12 16 0.00000
13 16 9.82e-5
14 16 0.00000
15 16 0.00000
1  17 3.50e-1
2  17 3.52
3  17 9.56e-3
4  17 1.59e-1
5  17 9.90e-2
6  17 4.55e-4
7  17 1.23e-1
8  17 4.38e-2
9  17 4.58e-5
10 17 3.15e-4
11 17 3.70e-5
12 17 0.00000
13 17 1.45e-5
14 17 1.51e-7
15 17 0.00000
16 17 2.07e-7
1   6     0.00
2   4  1506.94
3  10  8393.90
4   8  9330.04
5   6 10115.66
6   4 10663.89
7   8 13550.39
8   6 14995.57
9   6 23108.28
10  4 23796.18
11  4 24788.20
12  2 24835.93
13  6 25036.38
14  4 29070.93
15  2 29593.46
16 10 32499.53
17  8 32523.54
